drug,concentration,n_genotypes,cv_median,cv_q25,cv_q75,cv_q90,frac_lt_10pct_cv,logsd_median,logsd_q25,logsd_q75
Ampicillin,0.0,60496,24.899069015810582,15.482873256859882,38.02364729688372,57.662562278230794,0.11810698227982015,0.10955810224934802,0.0677219160864621,0.16874824594409044
Ampicillin,3.1,60496,26.32404160984397,16.318770744628203,40.127925010345294,60.62567353745192,0.1092138323194922,0.11591444303020026,0.07119971951203662,0.17919213352842112
Ampicillin,12.2,60496,26.62445826555458,16.412700585534175,40.81786841304578,63.37236944469604,0.10805673102353874,0.11744953011098995,0.07167176102550915,0.18283696189931573
Ampicillin,48.8,60496,29.0577274211499,17.623455779795503,45.412348336993325,69.66080372516811,0.10109759322930442,0.1285315281707436,0.07714823857086668,0.20459285063645005
Ampicillin,195.0,60496,35.73512281480512,20.897209011751148,56.30210264227808,84.14132358932105,0.08810499867759852,0.15935547838864292,0.09163020299081398,0.2628593923756644
Ampicillin,781.0,60496,64.44135568502254,35.51673640950844,94.49380253680951,129.86787464587172,0.07241801110817245,0.31362093651764883,0.15868763463821878,0.5825682472203538
Aztreonam,0.0,59954,26.182882807900498,16.391248327741287,39.878314819310674,59.64632806458734,0.10821629916269139,0.11541157806566879,0.07165466544701286,0.17732129536351499
Aztreonam,0.44,59954,32.50363755677919,19.809059038609355,49.81135648833477,73.67011885015513,0.08484838376088334,0.14496904727687782,0.08674297301328325,0.22711179685201363
Aztreonam,1.33,59954,32.201051121330735,19.4889287355518,49.789467963490154,73.48847896698148,0.08830103079027254,0.14312430211010646,0.08544867953455486,0.22679382492290007
Aztreonam,4.0,59954,42.58622853937551,26.188475376893077,63.06133894071415,89.63439043118473,0.05859492277412683,0.19341516641231554,0.11553336643826821,0.30026877713748423
Aztreonam,12.0,59954,49.71477648573707,31.17242723653732,71.65482950211101,99.15649543719114,0.04606865263368583,0.22841157168165194,0.13871520224078113,0.3471641173297119
Aztreonam,36.0,59954,53.980204000501466,33.32265695819162,79.75262150518655,110.63231510364253,0.03988057510758248,0.24851782415017454,0.14854985744795704,0.381774587966431
Aztreonam,108.0,59954,41.091611656873525,24.87210956320685,65.96968773678343,103.91486298667742,0.05649331153884645,0.18508368080524545,0.1094497403730257,0.30466435040502904
Aztreonam,324.0,59954,30.379025608139987,18.790764166289133,46.17933449386061,70.46513877444217,0.08609934282950261,0.1345724505139399,0.08220215912401627,0.2065127992818824
